# aper encyclopedia reference bank v1
# source: https://tilings.math.uni-bielefeld.de/substitution/
# attribution: D. Frettlöh, F. Gähler, E. Harriss: Tilings Encyclopedia
# licence: https://creativecommons.org/licenses/by-nc-sa/2.0/
# changes: whitespace normalised, records sorted by slug, aper ids added
# aper_system: - denotes a reference-only record
# source-last-modified: Fri, 17 Jul 2026 11:55:54 GMT
# source-etag: "68d81-656cd3d2ca8b1"
# records: 257
slug	title	url	tags	aper_system
2-component-rauzy-fractal	2-component Rauzy Fractal	https://tilings.math.uni-bielefeld.de/substitution/2-component-rauzy-fractal/	One Dimensional|Euclidean Windowed Tiling|Self Similar Substitution	-
2-component-rauzy-fractal-dual	2-component Rauzy Fractal (dual)	https://tilings.math.uni-bielefeld.de/substitution/2-component-rauzy-fractal-dual/	Border Forcing	-
a-ab--b-c--c-a	A->AB, B->C, C->A	https://tilings.math.uni-bielefeld.de/substitution/a-ab--b-c--c-a/	One Dimensional|Euclidean Windowed Tiling|Self Similar Substitution|Polytopal Tiles	-
a-ab--b-c--c-a-dual	A->AB, B->C, C->A (dual)	https://tilings.math.uni-bielefeld.de/substitution/a-ab--b-c--c-a-dual/	Finite Rotations|Euclidean Windowed Tiling|Polytopal Windowed Tiling|Canonical Substitution Tiling|Polytopal Tiles|Parallelogramm Tiles	-
ammann-a3	Ammann A3	https://tilings.math.uni-bielefeld.de/substitution/ammann-a3/	Without Decoration|Finite Rotations|Euclidean Windowed Tiling|Polytopal Tiles|Self Similar Substitution	-
ammann-a4	Ammann A4	https://tilings.math.uni-bielefeld.de/substitution/ammann-a4/	With Decoration|Finite Rotations|Polytopal Windowed Tiling|Canonical Substitution Tiling|Parallelogram Tiles|Self Similar Substitution|Mld Class Ammann	-
ammann-beenker	Ammann-Beenker	https://tilings.math.uni-bielefeld.de/substitution/ammann-beenker/	With Decoration|Finite Rotations|Polytopal Windowed Tiling|Canonical Substitution Tiling|Rhomb Tiles|Mld Class Ammann|Matching Rules	-
ammann-beenker-rhomb-triangle	Ammann-Beenker rhomb triangle	https://tilings.math.uni-bielefeld.de/substitution/ammann-beenker-rhomb-triangle/	With Decoration|Finite Rotations|Euclidean Windowed Tiling|Polytopal Windowed Tiling|Canonical Substitution Tiling|Polytopal Tiles|Parallelogramm Tiles|Self Similar Substitution	ammann-beenker
ammann-chair	Ammann Chair	https://tilings.math.uni-bielefeld.de/substitution/ammann-chair/	Without Decoration|Finite Rotations|Polytopal Windowed Tiling|Polytopal Tiles|Self Similar Substitution	-
armchair	Armchair	https://tilings.math.uni-bielefeld.de/substitution/armchair/	Finite Rotations|Polytopal Tiles|Polyomio Tilings|Rep Tiles|Self Similar Substitution|Mld Class Domino	-
bad-in-cone	Bat in Cone	https://tilings.math.uni-bielefeld.de/substitution/bad-in-cone/		-
binary	Godreche-Lancon-Billard Binary	https://tilings.math.uni-bielefeld.de/substitution/binary/	Finite Rotations|Polytopal Tiles|Parallelogramm Tiles|Rhomb Tiles|Finite Local Complexity	-
birds-and-bees	Birds and Bees	https://tilings.math.uni-bielefeld.de/substitution/birds-and-bees/		-
bowtie-hexagon	Bowtie-Hexagon	https://tilings.math.uni-bielefeld.de/substitution/bowtie-hexagon/	Finite Rotations|Model Set|Polytopal Tiles|Self Similar Substitution|Finite Local Complexity|Girih	-
bowtie-hexagon-10gon-1	Bowtie-Hexagon-Decagon 1	https://tilings.math.uni-bielefeld.de/substitution/bowtie-hexagon-10gon-1/	Finite Rotations|Polytopal Tiles|Self Similar Substitution|Finite Local Complexity|Girih	-
bowtie-hexagon-10gon-2	Bowtie-Hexagon-Decagon 2	https://tilings.math.uni-bielefeld.de/substitution/bowtie-hexagon-10gon-2/	Finite Rotations|Polytopal Tiles|Self Similar Substitution|Finite Local Complexity|Girih	-
bowtie-hexagon-10gon-3	Bowtie-Hexagon-Decagon 3	https://tilings.math.uni-bielefeld.de/substitution/bowtie-hexagon-10gon-3/	Finite Rotations|Polytopal Tiles|Self Similar Substitution|Finite Local Complexity|Girih	-
bronze-mean	Bronze-mean Tiling	https://tilings.math.uni-bielefeld.de/substitution/bronze-mean/		-
bumerang	Bumerang	https://tilings.math.uni-bielefeld.de/substitution/bumerang/		-
cap	CAP	https://tilings.math.uni-bielefeld.de/substitution/cap/	Aperiodic Monotile|Self Similar Substitution	-
cast-10-fold	Cyclotomic Aperiodic Substitution Tiling with Dense Tile Orientations, 10-fold	https://tilings.math.uni-bielefeld.de/substitution/cast-10-fold/	Finite Local Complexity|Polytopal Tiles|Self Similar Substitution|Infinite Rotations	-
cast-8-fold	Cyclotomic Aperiodic Substitution Tiling with Dense Tile Orientations, 8-fold	https://tilings.math.uni-bielefeld.de/substitution/cast-8-fold/	Finite Local Complexity|Polytopal Tiles|Self Similar Substitution|Infinite Rotations	-
central-fibonacci	Central Fibonacci	https://tilings.math.uni-bielefeld.de/substitution/central-fibonacci/	Euclidean Windowed Tiling|Polytopal Windowed Tiling|Canonical Substitution Tiling|One Dimensional|Polytopal Tiles|Parallelogram Tiles|Self Similar Substitution|Mld Class Fibonacci	-
cesis-substitution	Cesi's Substitution	https://tilings.math.uni-bielefeld.de/substitution/cesis-substitution/	Self Similar Substitution|Infinite Rotations	-
chaims-cubic-pv	Chaim's Cubic PV	https://tilings.math.uni-bielefeld.de/substitution/chaims-cubic-pv/	Finite Rotations|Euclidean Windowed Tiling|Polytopal Tiles|Self Similar Substitution	-
chaims-square-tiling	Chaim's Square Tiling	https://tilings.math.uni-bielefeld.de/substitution/chaims-square-tiling/		-
chair	Chair	https://tilings.math.uni-bielefeld.de/substitution/chair/	Finite Rotations|P Adic Windowed Tiling|Polytopal Tiles|Rep Tiles|Self Similar Substitution|Mld Class Chair	-
chair-variant	Chair variant (9 tiles)	https://tilings.math.uni-bielefeld.de/substitution/chair-variant/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
chord-quadrangle-3-3	Chord Quadrangle 3-3	https://tilings.math.uni-bielefeld.de/substitution/chord-quadrangle-3-3/		-
chord-quadrangle-4-3	Chord Quadrangle 4-3	https://tilings.math.uni-bielefeld.de/substitution/chord-quadrangle-4-3/		-
chord-quadrangle-5-3	Chord Quadrangle 5-3	https://tilings.math.uni-bielefeld.de/substitution/chord-quadrangle-5-3/		-
chord-quadrangle-5-5	Chord Quadrangle 5-5	https://tilings.math.uni-bielefeld.de/substitution/chord-quadrangle-5-5/		-
chord-quadrangle-6-5	Chord Quadrangle 6-5	https://tilings.math.uni-bielefeld.de/substitution/chord-quadrangle-6-5/		-
chord-quadrangle-7-5	Chord Quadrangle 7-5	https://tilings.math.uni-bielefeld.de/substitution/chord-quadrangle-7-5/		-
clamshell	Clamshell	https://tilings.math.uni-bielefeld.de/substitution/clamshell/		-
coloured-golden-triangle	Coloured Golden Triangle	https://tilings.math.uni-bielefeld.de/substitution/coloured-golden-triangle/	Without Decoration|Finite Rotations|Euclidean Windowed Tiling|Polytopal Tiles|Self Similar Substitution	-
conch	Conch	https://tilings.math.uni-bielefeld.de/substitution/conch/	Finite Rotations|Euclidean Windowed Tiling	-
conch-volume-hierarchic	Conch (Volume Hierarchic)	https://tilings.math.uni-bielefeld.de/substitution/conch-volume-hierarchic/	Finite Rotations|Euclidean Windowed Tiling|Self Similar Substitution	-
cromwell-kite-rhombus-trapezium	Cromwell Kite-Rhombus-Trapezium	https://tilings.math.uni-bielefeld.de/substitution/cromwell-kite-rhombus-trapezium/	Without Decoration|Finite Rotations|Polytopal Windowed Tiling|Canonical Substitution Tiling|Mld Class Penrose	-
crown	Crown	https://tilings.math.uni-bielefeld.de/substitution/crown/		-
cubic-pinwheel	Cubic Pinwheel	https://tilings.math.uni-bielefeld.de/substitution/cubic-pinwheel/	Infinite Rotations|Infinite Local Complexity|Polytopal Tiles|Self Similar Substitution	-
cyclotomic-trapezoids-11-fold	Cyclotomic Trapezoids 11-fold	https://tilings.math.uni-bielefeld.de/substitution/cyclotomic-trapezoids-11-fold/		-
cyclotomic-trapezoids-7-fold	Cyclotomic Trapezoids 7-fold	https://tilings.math.uni-bielefeld.de/substitution/cyclotomic-trapezoids-7-fold/		-
cyclotomic-trapezoids-9-fold	Cyclotomic Trapezoids 9-fold	https://tilings.math.uni-bielefeld.de/substitution/cyclotomic-trapezoids-9-fold/		-
dampflok	Dampflok	https://tilings.math.uni-bielefeld.de/substitution/dampflok/		-
danzers-7-fold	Danzer's 7-fold	https://tilings.math.uni-bielefeld.de/substitution/danzers-7-fold/	Without Decoration|Finite Rotations|Polytopal Tiles|Self Similar Substitution|Matching Rules	-
danzers-7-fold-original	Danzer's 7-fold original	https://tilings.math.uni-bielefeld.de/substitution/danzers-7-fold-original/	Without Decoration|Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
danzers-7-fold-variant	Danzer's 7-fold variant	https://tilings.math.uni-bielefeld.de/substitution/danzers-7-fold-variant/	Finite Rotations|Polytopal Tiles|Self Similar Substitution|Generalized Robinson Triangles	-
danzers-non-flc-5	Danzer's non-FLC 5	https://tilings.math.uni-bielefeld.de/substitution/danzers-non-flc-5/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
darb-i-imam-shrine	Darb-I Imam Shrine	https://tilings.math.uni-bielefeld.de/substitution/darb-i-imam-shrine/	Finite Local Complexity|Finite Rotations|Polytopal Tiles|Self Similar Substitution|Girih	-
deltoid-7-2-1	Nischke-Danzer-Deltoid 7-fold-2-1	https://tilings.math.uni-bielefeld.de/substitution/deltoid-7-2-1/		-
deltoid-7-3-1	Nischke-Danzer-Deltoid 7-fold-3-1	https://tilings.math.uni-bielefeld.de/substitution/deltoid-7-3-1/		-
deltoid-7-3-2	Nischke-Danzer-Deltoid 7-fold-3-2	https://tilings.math.uni-bielefeld.de/substitution/deltoid-7-3-2/		-
diamond	Diamond	https://tilings.math.uni-bielefeld.de/substitution/diamond/		-
diamond-triangle	Diamond Triangle	https://tilings.math.uni-bielefeld.de/substitution/diamond-triangle/		-
dite-and-kart-2d	Dite and Kart 2D	https://tilings.math.uni-bielefeld.de/substitution/dite-and-kart-2d/		-
domino	Domino	https://tilings.math.uni-bielefeld.de/substitution/domino/	Polyomio Tiling|Finite Rotations|Polyomio Tilings|Rep Tiles|Self Similar Substitution	-
domino-variant	Domino variant	https://tilings.math.uni-bielefeld.de/substitution/domino-variant/	Finite Rotations|P Adic Windowed Tiling|Polytopal Tiles|Parallelogram Tiles|Polyomio Tiling|Rep Tiles|Self Similar Substitution	-
